epinid,modelkodu,urunadi,adet,tedarikci,maliyet,tarih
12473487,ep398451470,Roblox 100 USD,1,"Wupex 42,80",3946.8,2026-01-06 17:29:39
12473453,ep247041922,Roblox 800 Robux,1,Giftery.Pro 42.80,393.76,2026-01-06 17:17:58
12473452,ep247041922,Roblox 800 Robux,1,Giftery.Pro 42.80,393.76,2026-01-06 17:17:58
12473451,ep247041922,Roblox 800 Robux,1,Giftery.Pro 42.80,393.76,2026-01-06 17:17:58
12473450,ep247041922,Roblox 800 Robux,1,Giftery.Pro 42.80,393.76,2026-01-06 17:17:58
12473440,ep259604871,M24Pro 500 Credits,1,LiderEpin,469.2,2026-01-06 17:08:43
12473439,ep259604871,M24Pro 500 Credits,1,LiderEpin,469.2,2026-01-06 17:08:43
12473438,ep259604871,M24Pro 500 Credits,1,LiderEpin,469.2,2026-01-06 17:08:43
12473437,ep259604871,M24Pro 500 Credits,1,LiderEpin,469.2,2026-01-06 17:08:43
12473436,ep259604871,M24Pro 500 Credits,1,LiderEpin,469.2,2026-01-06 17:08:43
